POSN mm ,LOAD kn,STRAIN1 mm,STRESS(MPA),TIME(sec)
-54.335349,0.597715,0.044112,-7.610349,6.23
-54.334377,0.598311,0.044287,-7.617938,6.24
-54.336516,0.608373,0.04432,-7.746042,6.25
-54.334245,0.604039,0.044499,-7.690869,6.26
-54.335499,0.609875,0.044498,-7.765166,6.27
-54.335807,0.610489,0.044759,-7.772983,6.28
-54.333845,0.607842,0.044865,-7.739287,6.29
-54.336984,0.615829,0.044846,-7.840981,6.3
-54.334813,0.61087,0.04492,-7.77784,6.31
-54.333804,0.608128,0.0449,-7.74293,6.32
-54.33504,0.613773,0.04496,-7.814799,6.33
-54.33415,0.606632,0.045044,-7.723881,6.34
-54.337311,0.614923,0.045031,-7.829446,6.35
-54.335648,0.621694,0.045168,-7.915658,6.36
-54.334663,0.615913,0.045141,-7.842044,6.37
-54.336616,0.621372,0.045248,-7.91156,6.38
-54.334186,0.61897,0.045235,-7.880976,6.39
-54.335685,0.619036,0.045349,-7.881811,6.4
-54.33895,0.62542,0.04547,-7.96309,6.41
-54.336816,0.622541,0.045457,-7.926435,6.42
-54.337147,0.626516,0.045581,-7.977054,6.43
-54.338124,0.637454,0.045765,-8.116314,6.44
-54.33653,0.626767,0.045816,-7.980241,6.45
-54.337865,0.632471,0.045909,-8.052869,6.46
-54.336343,0.637627,0.045896,-8.118515,6.47
-54.337075,0.632709,0.046128,-8.055905,6.48
-54.33806,0.643539,0.046405,-8.193798,6.49
-54.33618,0.639182,0.04626,-8.138322,6.5
-54.337102,0.643009,0.046403,-8.187044,6.51
-54.338019,0.652283,0.046597,-8.305131,6.52
-54.337165,0.640082,0.046645,-8.149782,6.53
-54.337888,0.647962,0.046762,-8.25011,6.54
-54.33826,0.65068,0.046778,-8.284716,6.55
-54.339073,0.642443,0.046724,-8.179835,6.56
-54.338106,0.652218,0.046882,-8.304296,6.57
-54.337533,0.648242,0.046946,-8.253676,6.58
-54.339895,0.648427,0.046911,-8.256029,6.59
-54.338605,0.657529,0.046987,-8.371915,6.6
-54.337007,0.647682,0.047038,-8.246543,6.61
